## 
moduleName                     + offset   cost   jmp    instr  esp        ninstr taken                          - offset   nottaken                       - offset  
libc-2.23.so                   + 0006F54B (   2) (   0) (   2) (F5A750F0) (   2) libc-2.23.so                   + 0006F540 libc-2.23.so                   + 0006F54F
libc-2.23.so                   + 0006F54F (   3) (   0) (   2) (F5A750F0) (   3) libc-2.23.so                   + 0006F80A libc-2.23.so                   + 0006F55A
libc-2.23.so                   + 0006F55A (   7) (   0) (   1) (F5A750F0) (   7) libc-2.23.so                   + 0006F535 ???                            + 00000000
libc-2.23.so                   + 0006F535 (   2) (   0) (   2) (F5A750F0) (   2) libc-2.23.so                   + 0006F57F libc-2.23.so                   + 0006F539
libc-2.23.so                   + 0006F539 (   2) (   0) (   2) (F5A750F0) (   2) libc-2.23.so                   + 0006F54B libc-2.23.so                   + 0006F53D
libc-2.23.so                   + 0006F54B (   2) (   0) (   2) (F5A750F0) (   2) libc-2.23.so                   + 0006F540 libc-2.23.so                   + 0006F54F
libc-2.23.so                   + 0006F540 (   3) (   0) (   2) (F5A750F0) (   3) libc-2.23.so                   + 0006FA10 libc-2.23.so                   + 0006F54B
libc-2.23.so                   + 0006F54B (   2) (   0) (   2) (F5A750F0) (   2) libc-2.23.so                   + 0006F540 libc-2.23.so                   + 0006F54F
libc-2.23.so                   + 0006F540 (   3) (   0) (   2) (F5A750F0) (   3) libc-2.23.so                   + 0006FA10 libc-2.23.so                   + 0006F54B
libc-2.23.so                   + 0006F54B (   2) (   0) (   2) (F5A750F0) (   2) libc-2.23.so                   + 0006F540 libc-2.23.so                   + 0006F54F
libc-2.23.so                   + 0006F540 (   3) (   0) (   2) (F5A750F0) (   3) libc-2.23.so                   + 0006FA10 libc-2.23.so                   + 0006F54B
libc-2.23.so                   + 0006F54B (   2) (   0) (   2) (F5A750F0) (   2) libc-2.23.so                   + 0006F540 libc-2.23.so                   + 0006F54F
libc-2.23.so                   + 0006F540 (   3) (   0) (   2) (F5A750F0) (   3) libc-2.23.so                   + 0006FA10 libc-2.23.so                   + 0006F54B
libc-2.23.so                   + 0006F54B (   2) (   0) (   2) (F5A750F0) (   2) libc-2.23.so                   + 0006F540 libc-2.23.so                   + 0006F54F
libc-2.23.so                   + 0006F540 (   3) (   0) (   2) (F5A750F0) (   3) libc-2.23.so                   + 0006FA10 libc-2.23.so                   + 0006F54B
libc-2.23.so                   + 0006F54B (   2) (   0) (   2) (F5A750F0) (   2) libc-2.23.so                   + 0006F540 libc-2.23.so                   + 0006F54F
libc-2.23.so                   + 0006F540 (   3) (   0) (   2) (F5A750F0) (   3) libc-2.23.so                   + 0006FA10 libc-2.23.so                   + 0006F54B
libc-2.23.so                   + 0006F54B (   2) (   0) (   2) (F5A750F0) (   2) libc-2.23.so                   + 0006F540 libc-2.23.so                   + 0006F54F
libc-2.23.so                   + 0006F540 (   3) (   0) (   2) (F5A750F0) (   3) libc-2.23.so                   + 0006FA10 libc-2.23.so                   + 0006F54B
libc-2.23.so                   + 0006F54B (   2) (   0) (   2) (F5A750F0) (   2) libc-2.23.so                   + 0006F540 libc-2.23.so                   + 0006F54F
libc-2.23.so                   + 0006F540 (   3) (   0) (   2) (F5A750F0) (   3) libc-2.23.so                   + 0006FA10 libc-2.23.so                   + 0006F54B
libc-2.23.so                   + 0006F54B (   2) (   0) (   2) (F5A750F0) (   2) libc-2.23.so                   + 0006F540 libc-2.23.so                   + 0006F54F
libc-2.23.so                   + 0006F540 (   3) (   0) (   2) (F5A750F0) (   3) libc-2.23.so                   + 0006FA10 libc-2.23.so                   + 0006F54B
libc-2.23.so                   + 0006F54B (   2) (   0) (   2) (F5A750F0) (   2) libc-2.23.so                   + 0006F540 libc-2.23.so                   + 0006F54F
libc-2.23.so                   + 0006F540 (   3) (   0) (   2) (F5A750F0) (   3) libc-2.23.so                   + 0006FA10 libc-2.23.so                   + 0006F54B
libc-2.23.so                   + 0006F54B (   2) (   0) (   2) (F5A750F0) (   2) libc-2.23.so                   + 0006F540 libc-2.23.so                   + 0006F54F
libc-2.23.so                   + 0006F540 (   3) (   0) (   2) (F5A750F0) (   3) libc-2.23.so                   + 0006FA10 libc-2.23.so                   + 0006F54B
libc-2.23.so                   + 0006F54B (   2) (   0) (   2) (F5A750F0) (   2) libc-2.23.so                   + 0006F540 libc-2.23.so                   + 0006F54F
libc-2.23.so                   + 0006F540 (   3) (   0) (   2) (F5A750F0) (   3) libc-2.23.so                   + 0006FA10 libc-2.23.so                   + 0006F54B
libc-2.23.so                   + 0006F54B (   2) (   0) (   2) (F5A750F0) (   2) libc-2.23.so                   + 0006F540 libc-2.23.so                   + 0006F54F
libc-2.23.so                   + 0006F540 (   3) (   0) (   2) (F5A750F0) (   3) libc-2.23.so                   + 0006FA10 libc-2.23.so                   + 0006F54B
libc-2.23.so                   + 0006F54B (   2) (   0) (   2) (F5A750F0) (   2) libc-2.23.so                   + 0006F540 libc-2.23.so                   + 0006F54F
libc-2.23.so                   + 0006F540 (   3) (   0) (   2) (F5A750F0) (   3) libc-2.23.so                   + 0006FA10 libc-2.23.so                   + 0006F54B
libc-2.23.so                   + 0006F54B (   2) (   0) (   2) (F5A750F0) (   2) libc-2.23.so                   + 0006F540 libc-2.23.so                   + 0006F54F
libc-2.23.so                   + 0006F54F (   3) (   0) (   2) (F5A750F0) (   3) libc-2.23.so                   + 0006F80A libc-2.23.so                   + 0006F55A
libc-2.23.so                   + 0006F55A (   7) (   0) (   1) (F5A750F0) (   7) libc-2.23.so                   + 0006F535 ???                            + 00000000
libc-2.23.so                   + 0006F535 (   2) (   0) (   2) (F5A750F0) (   2) libc-2.23.so                   + 0006F57F libc-2.23.so                   + 0006F539
libc-2.23.so                   + 0006F57F (   3) (   0) (   2) (F5A750F0) (   3) libc-2.23.so                   + 0006F570 libc-2.23.so                   + 0006F587
libc-2.23.so                   + 0006F570 (   3) (   0) (   2) (F5A750F0) (   3) libc-2.23.so                   + 0006F628 libc-2.23.so                   + 0006F57F
libc-2.23.so                   + 0006F628 (   5) (   0) (   1) (F5A750F0) (   5) libc-2.23.so                   + 0006F54B ???                            + 00000000
libc-2.23.so                   + 0006F54B (   2) (   0) (   2) (F5A750F0) (   2) libc-2.23.so                   + 0006F540 libc-2.23.so                   + 0006F54F
libc-2.23.so                   + 0006F540 (   3) (   0) (   2) (F5A750F0) (   3) libc-2.23.so                   + 0006FA10 libc-2.23.so                   + 0006F54B
libc-2.23.so                   + 0006F54B (   2) (   0) (   2) (F5A750F0) (   2) libc-2.23.so                   + 0006F540 libc-2.23.so                   + 0006F54F
libc-2.23.so                   + 0006F540 (   3) (   0) (   2) (F5A750F0) (   3) libc-2.23.so                   + 0006FA10 libc-2.23.so                   + 0006F54B
libc-2.23.so                   + 0006F54B (   2) (   0) (   2) (F5A750F0) (   2) libc-2.23.so                   + 0006F540 libc-2.23.so                   + 0006F54F
libc-2.23.so                   + 0006F54F (   3) (   0) (   2) (F5A750F0) (   3) libc-2.23.so                   + 0006F80A libc-2.23.so                   + 0006F55A
libc-2.23.so                   + 0006F55A (   7) (   0) (   1) (F5A750F0) (   7) libc-2.23.so                   + 0006F535 ???                            + 00000000
libc-2.23.so                   + 0006F535 (   2) (   0) (   2) (F5A750F0) (   2) libc-2.23.so                   + 0006F57F libc-2.23.so                   + 0006F539
libc-2.23.so                   + 0006F539 (   2) (   0) (   2) (F5A750F0) (   2) libc-2.23.so                   + 0006F54B libc-2.23.so                   + 0006F53D
libc-2.23.so                   + 0006F54B (   2) (   0) (   2) (F5A750F0) (   2) libc-2.23.so                   + 0006F540 libc-2.23.so                   + 0006F54F
libc-2.23.so                   + 0006F540 (   3) (   0) (   2) (F5A750F0) (   3) libc-2.23.so                   + 0006FA10 libc-2.23.so                   + 0006F54B
libc-2.23.so                   + 0006F54B (   2) (   0) (   2) (F5A750F0) (   2) libc-2.23.so                   + 0006F540 libc-2.23.so                   + 0006F54F
libc-2.23.so                   + 0006F540 (   3) (   0) (   2) (F5A750F0) (   3) libc-2.23.so                   + 0006FA10 libc-2.23.so                   + 0006F54B
libc-2.23.so                   + 0006F54B (   2) (   0) (   2) (F5A750F0) (   2) libc-2.23.so                   + 0006F540 libc-2.23.so                   + 0006F54F
libc-2.23.so                   + 0006F540 (   3) (   0) (   2) (F5A750F0) (   3) libc-2.23.so                   + 0006FA10 libc-2.23.so                   + 0006F54B
libc-2.23.so                   + 0006F54B (   2) (   0) (   2) (F5A750F0) (   2) libc-2.23.so                   + 0006F540 libc-2.23.so                   + 0006F54F
libc-2.23.so                   + 0006F540 (   3) (   0) (   2) (F5A750F0) (   3) libc-2.23.so                   + 0006FA10 libc-2.23.so                   + 0006F54B
libc-2.23.so                   + 0006F54B (   2) (   0) (   2) (F5A750F0) (   2) libc-2.23.so                   + 0006F540 libc-2.23.so                   + 0006F54F
libc-2.23.so                   + 0006F540 (   3) (   0) (   2) (F5A750F0) (   3) libc-2.23.so                   + 0006FA10 libc-2.23.so                   + 0006F54B
libc-2.23.so                   + 0006F54B (   2) (   0) (   2) (F5A750F0) (   2) libc-2.23.so                   + 0006F540 libc-2.23.so                   + 0006F54F
libc-2.23.so                   + 0006F540 (   3) (   0) (   2) (F5A750F0) (   3) libc-2.23.so                   + 0006FA10 libc-2.23.so                   + 0006F54B
libc-2.23.so                   + 0006F54B (   2) (   0) (   2) (F5A750F0) (   2) libc-2.23.so                   + 0006F540 libc-2.23.so                   + 0006F54F
libc-2.23.so                   + 0006F540 (   3) (   0) (   2) (F5A750F0) (   3) libc-2.23.so                   + 0006FA10 libc-2.23.so                   + 0006F54B
libc-2.23.so                   + 0006F54B (   2) (   0) (   2) (F5A750F0) (   2) libc-2.23.so                   + 0006F540 libc-2.23.so                   + 0006F54F
libc-2.23.so                   + 0006F540 (   3) (   0) (   2) (F5A750F0) (   3) libc-2.23.so                   + 0006FA10 libc-2.23.so                   + 0006F54B
libc-2.23.so                   + 0006F54B (   2) (   0) (   2) (F5A750F0) (   2) libc-2.23.so                   + 0006F540 libc-2.23.so                   + 0006F54F
libc-2.23.so                   + 0006F540 (   3) (   0) (   2) (F5A750F0) (   3) libc-2.23.so                   + 0006FA10 libc-2.23.so                   + 0006F54B
libc-2.23.so                   + 0006F54B (   2) (   0) (   2) (F5A750F0) (   2) libc-2.23.so                   + 0006F540 libc-2.23.so                   + 0006F54F
libc-2.23.so                   + 0006F54F (   3) (   0) (   2) (F5A750F0) (   3) libc-2.23.so                   + 0006F80A libc-2.23.so                   + 0006F55A
libc-2.23.so                   + 0006F55A (   7) (   0) (   1) (F5A750F0) (   7) libc-2.23.so                   + 0006F535 ???                            + 00000000
libc-2.23.so                   + 0006F535 (   2) (   0) (   2) (F5A750F0) (   2) libc-2.23.so                   + 0006F57F libc-2.23.so                   + 0006F539
libc-2.23.so                   + 0006F57F (   3) (   0) (   2) (F5A750F0) (   3) libc-2.23.so                   + 0006F570 libc-2.23.so                   + 0006F587
libc-2.23.so                   + 0006F570 (   3) (   0) (   2) (F5A750F0) (   3) libc-2.23.so                   + 0006F628 libc-2.23.so                   + 0006F57F
libc-2.23.so                   + 0006F628 (   5) (   0) (   1) (F5A750F0) (   5) libc-2.23.so                   + 0006F54B ???                            + 00000000
libc-2.23.so                   + 0006F54B (   2) (   0) (   2) (F5A750F0) (   2) libc-2.23.so                   + 0006F540 libc-2.23.so                   + 0006F54F
